place,Type,Open,lat,long,notes1,notes2,website
John's Marketplace Powell,Bar,open,45.49646763,-122.6270293,Patio,,"https://www.google.com/maps/place/John's+Marketplace+Powell/@45.4965225,-122.6270169,20.23z/data=!3m1!5s0x5495a07eab09a9ff:0x592c3c68d2a941fa!4m5!3m4!1s0x5495a122daa6f11f:0x2df783aa03383034!8m2!3d45.4965108!4d-122.6270698"
Montavilla Brew Works,Bar,open,45.51934493,-122.5834051,Patio,,"https://www.google.com/maps/place/Montavilla+Brew+Works/@45.519234,-122.5834672,18.51z/data=!4m12!1m6!3m5!1s0x5495a101315f0677:0x5ae3304e17893e31!2sMontavilla+Brew+Works!8m2!3d45.5193172!4d-122.5834044!3m4!1s0x5495a101315f0677:0x5ae3304e17893e31!8m2!3d45.5193172!4d-122.5834044"
Ancestry Brewing,Bar,open,45.51187543,-122.6175882,Outside Seating,,"https://www.google.com/maps/place/Ancestry+Brewing/@45.5114625,-122.6224529,16.42z/data=!3m1!5s0x5495a0f324919965:0x4836526d89980e6f!4m9!1m2!2m1!1sAncestry+Brewing!3m5!1s0x5495a1af87194101:0x500792ef3dc456aa!8m2!3d45.5118575!4d-122.6175915!15sChBBbmNlc3RyeSBCcmV3aW5nIgOIAQFaEiIQYW5jZXN0cnkgYnJld2luZ5IBB2JyZXdwdWI"
Baerlic Brewery & Taproom,Bar,open,45.50661148,-122.6549044,Outside Seating,,"https://www.google.com/maps/place/Baerlic+Brewery+%26+Taproom/@45.5066692,-122.6571384,17z/data=!3m2!4b1!5s0x54950a76ec9de3dd:0x449701a7a1312c0!4m5!3m4!1s0x54950a76ec3aa8f5:0x9c870222f0c83e0b!8m2!3d45.5066692!4d-122.6549444"
Gigantic Brewing,Bar,open,45.48527953,-122.6392664,Patio,,"https://www.google.com/search?tbs=lf:1,lf_ui:9&tbm=lcl&sxsrf=AOaemvIc6y0xUfx-gFWs-cHpR7bimVVzMw:1639425973819&q=gigantic+brewing&rflfq=1&num=10&ved=2ahUKEwjr4rfWyeH0AhVKHjQIHcffBC4QtgN6BAgPEAc#rlfi=hd:;si:5009898793922683578;mv:[[45.48686527894153,-122.63681971160783],[45.48436807973207,-122.64065527049912],null,[45.48561669317425,-122.63873749105348],18]"
Gigantic Brewing,Bar,open,45.52674854,-122.5917151,Patio,,"https://www.google.com/maps/place/Gigantic+Brewing+Robot+Room/@45.5266666,-122.5917446,21z/data=!4m12!1m6!3m5!1s0x5495a1775f90b021:0xc3032ff61ce6fae7!2sGigantic+Brewing+Robot+Room!8m2!3d45.5266957!4d-122.5917413!3m4!1s0x5495a1775f90b021:0xc3032ff61ce6fae7!8m2!3d45.5266957!4d-122.5917413"
Ruse Brewing,Bar,open,45.48772467,-122.6482399,Inside Seating,,"https://www.google.com/maps/place/Ruse+Brewing/@45.4877096,-122.6504325,17z/data=!3m2!4b1!5s0x54950a8ee0477aa1:0xf0eef39ff1249f6d!4m5!3m4!1s0x54950a8f1d96fd51:0xed36ee9287bb5867!8m2!3d45.4877096!4d-122.6482385"
Ex Novo,Bar,open,45.54002993,-122.6686042,Outside Seating,,"https://www.google.com/search?tbs=lf:1,lf_ui:4&tbm=lcl&sxsrf=AOaemvKiagiC51t3Q7VXe7GCLI1NfTNCuw:1639427117347&q=ex+novo&rflfq=1&num=10&ved=2ahUKEwjVl9v3zeH0AhU0LTQIHd5mCzIQtgN6BAg9EAc#rlfi=hd:;si:1916910384105281776;mv:[[45.55096914004018,-122.65055270145263],[45.52887619662675,-122.70518343175377],null,[45.53992375345935,-122.6778680666032],15]"
Upright Brewing Co,Bar,open,45.53476021,-122.6681773,Inside Seating,,"https://www.google.com/maps/place/Upright+Brewing/@45.5305118,-122.6685054,14.8z/data=!3m1!5s0x5495a754f0dfd2b3:0xb33c2aea0103a48!4m8!1m2!2m1!1sex+novo!3m4!1s0x5495a752169ca263:0xb7906c040673335c!8m2!3d45.5347161!4d-122.6681866"
Ecliptic Brewing,Bar,open,45.54736661,-122.6750628,Patio,,"https://www.google.com/maps/place/Ecliptic+Brewing/@45.5473366,-122.6772528,17z/data=!3m1!4b1!4m5!3m4!1s0x5495a74230a24473:0x3f0dd246d4fe4e90!8m2!3d45.5473366!4d-122.6750641"
Thunderbird Bar,Bar,open,45.49514337,-122.6075916,Outside Seating,,"https://www.google.com/maps/place/Thunderbird+Bar/@45.4951641,-122.6097583,17z/data=!3m2!4b1!5s0x5495a06f2e7af0b5:0xbf525f36c48e25ca!4m5!3m4!1s0x5495a06f2e5ae7b7:0xe216997ea179f35a!8m2!3d45.4951331!4d-122.6075912"
Away Days,Bar,open,45.51197931,-122.6555792,Outside Seating,,"https://www.google.com/maps/place/Away+Days+Brewing+Co/@45.5123445,-122.6564571,17.51z/data=!3m1!5s0x5495a09fdff3c127:0xd262f8738000c2ff!4m5!3m4!1s0x5495a198315a1763:0x8e2808c478307403!8m2!3d45.5119731!4d-122.6555745"
Cascade Brewing Barrel House,Bar,open,45.51664826,-122.6559101,Patio,Sours,"https://www.google.com/maps/place/Cascade+Brewing+Barrel+House/@45.5177711,-122.6596204,17.02z/data=!4m5!3m4!1s0x0:0x471c418efc2ec652!8m2!3d45.5166508!4d-122.6558434"
Modern Times,Bar,open,45.51642056,-122.6594627,Inside Seating,,"https://www.google.com/maps/place/Modern+Times+Beer+-+Belmont+Fermentorium/@45.5164473,-122.6593687,18.97z/data=!3m1!5s0x5495a0a0be822389:0x29e1318334721b9b!4m12!1m6!3m5!1s0x5495a0a0bfd7612b:0xb27a691a69901007!2sModern+Times+Beer+-+Belmont+Fermentorium!8m2!3d45.5164149!4d-122.6594657!3m4!1s0x5495a0a0bfd7612b:0xb27a691a69901007!8m2!3d45.5164149!4d-122.6594657"
Little Beast Brewing,Bar,open,45.50455202,-122.6292021,Patio,,"https://www.google.com/maps/place/Little+Beast+Brewing+Beer+Garden/@45.504537,-122.6313927,17z/data=!3m2!4b1!5s0x5495a0863cd7f15b:0xcad65cb363c13015!4m5!3m4!1s0x5495a1cda2508c69:0x4ca8c18d3f5f3f84!8m2!3d45.504537!4d-122.629204"
13th Moon Gravity Well,Bar,open,45.49006411,-122.6199956,Outside Seating,,"https://www.google.com/maps/place/13th+Moon+Gravity+Well/@45.4900186,-122.620261,21z/data=!4m8!1m2!2m1!1sbreakside!3m4!1s0x0:0x3499c626bff59dd5!8m2!3d45.4900629!4d-122.6199948"
APEX Bar,Bar,open,45.5046555,-122.6533092,Patio,CA$H ONLY,"https://www.google.com/maps/place/APEX/@45.5047177,-122.6536528,19.69z/data=!3m1!5s0x54950a7741396df5:0x2597e353d50d6d3a!4m5!3m4!1s0x54950a77417c717b:0x7dbc1d5f87bd3906!8m2!3d45.5046517!4d-122.6533125"
Gladstone Street Pub,Bar,open,45.49348043,-122.6237897,Patio,,"https://www.google.com/maps/place/Gladstone+Street+Pub/@45.4934581,-122.6259872,17z/data=!3m2!4b1!5s0x5495a0798d6a7745:0xf101a81295b3f418!4m5!3m4!1s0x5495a0798d5cc631:0x9eedc1d1829ef5fc!8m2!3d45.4934665!4d-122.6237908"
Migration Brewing,Bar,open,45.52627877,-122.636373,Patio,,"https://www.google.com/maps/place/Migration+Brewing+-+Glisan/@45.5267041,-122.6363112,16.13z/data=!3m1!5s0x5495a0c76868925d:0xde662c0b064171a!4m5!3m4!1s0x5495a0c767e76cc7:0xa6d7bc167f4333cc!8m2!3d45.526222!4d-122.63643"
A Roadside Attraction,Bar,open,45.51561664,-122.6535324,Patio,CA$H ONLY,"https://www.google.com/maps/place/A+Roadside+Attraction/@45.5147078,-122.6531889,16.81z/data=!3m1!5s0x5495a0a1958fd7cf:0x46959a6a6fcde332!4m5!3m4!1s0x5495a0a1be201687:0xf690efb2a55a6918!8m2!3d45.5156513!4d-122.6534324"
Culmination Brewing,Bar,open,45.5288812,-122.643723,Patio,,"https://www.google.com/maps/place/Culmination+Brewing/@45.5270059,-122.64376,16.32z/data=!3m1!5s0x5495a0b7966d47fd:0x47af42882deae904!4m12!1m6!3m5!1s0x5495a0b7961479e7:0x65fd79186494dae6!2sCulmination+Brewing!8m2!3d45.5289176!4d-122.6436628!3m4!1s0x5495a0b7961479e7:0x65fd79186494dae6!8m2!3d45.5289176!4d-122.6436628"
Imperial Bottle Shop & Taproom,Bar,open,45.5046995,-122.6337319,Patio,,"https://www.google.com/maps/place/Imperial+Bottle+Shop+%26+Taproom/@45.5057084,-122.634988,17.09z/data=!3m1!5s0x5495a08427403ac7:0xe202bade28e27596!4m9!1m2!2m1!1sImperial+Bottle+Shop+%26+Taproom!3m5!1s0x5495a0842845f7ed:0x5fef160bc7ea2379!8m2!3d45.5046899!4d-122.6337317!15sCh5JbXBlcmlhbCBCb3R0bGUgU2hvcCAmIFRhcHJvb20iA4gBAVogIh5pbXBlcmlhbCBib3R0bGUgc2hvcCAmIHRhcHJvb22SAQNiYXI"
Kachka,Food,open,45.51573834,-122.654549,Russian,,"https://www.google.com/maps/place/Kachka/@45.515842,-122.6561125,17.38z/data=!3m1!5s0x5495a0a1bacad177:0xbdc7f0532de53bd0!4m12!1m6!3m5!1s0x5495a0a7485bfdcd:0x859a3a4e9e7497eb!2sKachka!8m2!3d45.515737!4d-122.654557!3m4!1s0x5495a0a7485bfdcd:0x859a3a4e9e7497eb!8m2!3d45.515737!4d-122.654557"
Nicholas,Food,open,45.51329381,-122.6544712,Lebanese and Mediterranean ,,"https://www.google.com/maps/place/Nicholas+Restaurant+Lebanese+and+Mediterranean+Cuisine/@45.5148484,-122.6495262,15.83z/data=!4m5!3m4!1s0x5495a0a6459996b7:0x85487e1fc1dd102a!8m2!3d45.5132838!4d-122.6544759"
Bete-Lukas,Food,open,45.50470101,-122.610899,Ethiopian,,"https://www.google.com/maps/place/Bete-Lukas+%7C+Ethiopian+Restaurant/@45.5051728,-122.6113402,17.1z/data=!4m5!3m4!1s0x5495a0607a81f393:0x5d2847ec720ead0e!8m2!3d45.5047376!4d-122.6108222"
Guero,Food,open,45.52445867,-122.6371178,Mexican (Tortas),,"https://www.google.com/maps/place/G%C3%BCero/@45.524583,-122.6385185,17.05z/data=!3m1!5s0x5495a0c7ba3dd6a7:0x7ee523bcabc0a57b!4m5!3m4!1s0x5495a0be57da22db:0x36051eca18f8f166!8m2!3d45.5244553!4d-122.6370698"
Ken's Artisan Pizza,Food,open,45.52058727,-122.6370594,Pizza,,"https://www.google.com/maps/place/Ken's+Artisan+Pizza/@45.5206536,-122.6377489,18.45z/data=!3m1!5s0x5495a0be3fc29bcf:0xecf6dc093706679f!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!8m2!3d45.520579!4d-122.6370642"
Ranch PDX,Food,open,45.50670159,-122.6549672,Pizza,,"https://www.google.com/maps/search/ranch+pizza/@45.5067228,-122.6551659,17.31z"
Pine State Biscuits,Food,open,45.50463083,-122.6546025,Biscuits & Gravy,,"https://www.google.com/maps/place/Pine+State+Biscuits+%7C+Division/@45.5047931,-122.6560818,17.47z/data=!4m5!3m4!1s0x5495a09347a627dd:0x5d8b5317b5535b9a!8m2!3d45.50473!4d-122.654552"
Screen Door,Food,open,45.52300554,-122.6416453,Southern,,"https://www.google.com/maps/place/Screen+Door+Eastside/@45.5230018,-122.642267,18.59z/data=!3m1!5s0x5495a0bead0f685b:0xbd284b7ed12a6ec7!4m5!3m4!1s0x5495a0beac1053bb:0x8606af39a198e136!8m2!3d45.5230044!4d-122.6416448"
Gladstone St. Pizza,Food,open,45.49346422,-122.6234154,Pizza,,"https://www.google.com/maps/place/Gladstone+St.+Pizza+%26+Saint+Pizza+Lounge/@45.4935233,-122.6239674,18.7z/data=!4m5!3m4!1s0x5495a079f338166d:0x4494e300a320f1ba!8m2!3d45.4934658!4d-122.6234168"
